             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurances	# Books	Lettertriplets
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	PAF
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	PCU
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	PKN
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	STK
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	UUU
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	VYF
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	WHH
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	WMO
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	YDY
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	YGB
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	ACV
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	AKV
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	KVA
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	SÆV
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	VAX
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	VIQ
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	XU 
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	ÆLO
0.00000000000000000	0.00000001150194728	0.00000012547143163	0.00000000000000000	0.00000138023367356	  1	120	ÆSP
0.00000000000000000	0.00000001144433725	0.00000008988767972	0.00000000000000000	0.00000083206928142	  2	120	ECW
0.00000000000000000	0.00000001144410092	0.00000008926051148	0.00000000000000000	0.00000080673592226	  2	120	ZSK
0.00000000000000000	0.00000001142803695	0.00000008911744238	0.00000000000000000	0.00000080480824639	  2	120	AXN
0.00000000000000000	0.00000001139905865	0.00000008885964689	0.00000000000000000	0.00000080133085028	  2	120	UZK
